ticker,cluster_date,n_insiders,has_ceo,has_cfo,dd_52w,abnormal_5d
DUOT,2022-02-08,4,False,False,-56.36042234630847,-6.967122301997969
ACLX,2022-02-09,10,False,False,,2.621966041841077
PFSI,2022-02-09,6,False,False,-14.567108736401568,2.956093951140704
CBAN,2022-02-10,4,True,False,-4.487272871596771,-1.0041720797192892
ATGE,2022-02-10,3,False,False,,-10.423357759656872
VERA,2022-02-14,4,False,False,-46.53631341468157,15.404894113485238
INCY,2022-02-14,6,False,False,-24.57443440673067,4.6980402024300085
MODD,2022-02-14,5,False,False,,-18.212362549609743
RSVR,2022-02-15,10,True,True,-35.278744559154894,-4.843207840191521
AREN,2022-02-15,5,False,False,-62.727273594249375,3.224802039460986
VGZ,2022-02-15,3,False,False,-40.57971045791139,1.9900677238575035
CTKB,2022-02-16,5,False,False,-46.330112397670376,-8.926875296897212
TRNS,2022-02-16,3,False,False,-22.095142871219064,-0.0602540301982004
FLNC,2022-02-16,3,True,False,-63.865993267632504,-2.58286066143213
NOTV,2022-02-18,3,True,True,-59.813407395226825,1.3572844781111166
WRBY,2022-02-18,3,False,False,-52.87394804113051,10.244354861215648
NSIT,2022-02-22,7,False,False,-9.677420473009967,1.064631329988364
AVTX,2022-02-22,3,False,False,-79.43444765930354,-7.111420992255834
AMPL,2022-02-23,8,False,False,-77.2169823118612,-1.3606729254216934
MNKD,2022-03-01,5,True,True,-49.81751842283848,4.633237727045883
EOSE,2022-03-02,3,True,True,-88.04199039796642,10.879301531063277
RILY,2022-03-02,5,True,False,-26.78272477756387,-1.3775646310678815
ESTA,2022-03-02,5,False,False,-29.2257102900649,1.696064897807688
FGMC,2022-03-03,4,False,False,,-1.64272766811181
AMWD,2022-03-03,3,True,True,-45.571644361184546,2.2620576356836524
PSNL,2022-03-04,7,False,False,-68.60465077204945,-9.763850876391988
JRVR,2022-03-04,4,True,True,-57.9974031324898,-3.0080128882781554
STKL,2022-03-04,9,True,False,-68.6900944740879,-2.906846037531564
DOUG,2022-03-07,3,False,True,-45.75432695645946,-1.657272664588321
HLMN,2022-03-07,5,True,True,-21.58920600823391,0.2074132521127533
PRPL,2022-03-07,7,False,False,-81.72163246130366,-7.343508402697953
