sym,announce_day,year,abn_window,abn_day
UNH,2020-07-15,2020,-0.01030410098052248,-0.023610713201180134
UNH,2020-04-15,2020,0.11977970625930057,0.06257871206362087
UNH,2020-01-15,2020,0.03276935834789052,0.026084250111056972
HD,2026-05-19,2026,0.032402848916436966,0.015433056384920207
HD,2026-02-24,2026,-0.01953486042267283,0.012599505622659768
HD,2025-11-18,2025,-0.061154037287591834,-0.05179300283763977
HD,2025-08-19,2025,0.02590421065668258,0.03709486379654925
HD,2025-05-20,2025,-0.0023541776000419734,-0.0027794106868432866
HD,2025-02-25,2025,0.025547062875466042,0.03339732593065636
HD,2024-11-12,2024,0.007275712801781964,-0.009654129998726169
HD,2024-08-13,2024,0.008831673551188635,-0.004126498709042359
HD,2024-05-14,2024,0.005585003129906285,-0.00593703478232499
HD,2024-02-20,2024,0.009516870842385505,0.006112715400616087
HD,2023-11-14,2023,0.048285294513780386,0.03461389500001788
HD,2023-08-15,2023,0.028236240352213393,0.01828604117634358
HD,2023-05-16,2023,0.007967742776151088,-0.014839577476268961
HD,2023-02-21,2023,-0.046680881719142864,-0.05054748996014402
HD,2022-11-15,2022,0.025197561474815,0.007794498383353776
HD,2022-08-16,2022,0.04059416859589082,0.03863128100040503
HD,2022-05-17,2022,-0.015950554092454494,-0.0038129576191738845
HD,2022-02-22,2022,-0.08248212508915587,-0.07777431557918246
HD,2021-11-16,2021,0.06253720823747622,0.05330757189923463
HD,2021-08-17,2021,-0.02286390912984837,-0.03612493996060684
HD,2021-05-18,2021,-0.00615944738642582,-0.0015714884136948104
HD,2021-02-23,2021,-0.06981472905562325,-0.03242710293297346
HD,2020-11-17,2020,-0.017490883064595675,-0.02001783880045782
HD,2020-08-18,2020,-0.0166524715379468,-0.013400686411351281
HD,2020-05-19,2020,-0.03572491479517648,-0.019278464115979
HD,2020-02-25,2020,0.015429290381749117,0.02062338337270686
HD,2019-11-19,2019,-0.07114597056025529,-0.05409722617780022
WMT,2026-05-21,2026,-0.0867784585389707,-0.07466180797582467
WMT,2026-02-19,2026,-0.033243844311577675,-0.011183495102395469
WMT,2025-11-20,2025,0.0522474323821539,0.07984829759762313
WMT,2025-08-21,2025,-0.0672451549803792,-0.04093305984260209
WMT,2025-05-15,2025,0.0033123376819146344,-0.009841491616537024
WMT,2025-02-20,2025,-0.06746049614055338,-0.061128130413570125
WMT,2024-11-19,2024,0.032874006424781665,0.026315925963237286
WMT,2024-08-15,2024,0.053392225351223566,0.048691025346540906
WMT,2024-05-16,2024,0.0811847912352387,0.07192224748097742
WMT,2024-02-20,2024,0.0242099536336281,0.037790006201246285
WMT,2023-11-16,2023,-0.08746072355555723,-0.0821513838691994
WMT,2023-08-17,2023,-0.0012088085559843753,-0.014796351678732611
WMT,2023-05-18,2023,-0.005622607387506973,0.003340744365704529
WMT,2023-02-21,2023,0.00638834525864207,0.02613896585948683
WMT,2022-11-15,2022,0.07221920079313371,0.05686578865207581
WMT,2022-08-16,2022,0.0573403595662032,0.04909708589547224
WMT,2022-05-17,2022,-0.15337162324288278,-0.13432797529171248
WMT,2022-02-17,2022,0.061098794105688525,0.061427117342358284
WMT,2021-11-16,2021,-0.03534934245526555,-0.029415673151598987
WMT,2021-08-17,2021,0.0064835924467311346,0.00622402170347669
WMT,2021-05-18,2021,0.03303066066371929,0.030359421573686984
WMT,2021-02-18,2021,-0.054175467184581105,-0.060553754182493535
WMT,2020-11-17,2020,-0.00462737771000632,-0.014760872734942976
WMT,2020-08-18,2020,-0.021512263444109392,-0.00872364333046316
WMT,2020-05-19,2020,-0.023853721074205025,-0.01095697769902948
WMT,2020-02-18,2020,-0.003973035222742283,0.017337005926116422
WMT,2019-11-14,2019,-0.026143647198082376,-0.004183122491435265
PG,2026-04-24,2026,0.016644855558750393,0.01685978664347676
PG,2026-01-22,2026,0.02971310396496918,0.02127272044195916
PG,2025-10-24,2025,-0.01618310935672196,0.000672806664620218
PG,2025-07-29,2025,-0.02303021096957214,-0.0005448793492363047
